timestamp,angle,distance
2025-06-26 20:20:57,180,5.54
2025-06-26 20:21:01,0,5.54
2025-06-26 20:21:04,30,5.54
2025-06-26 20:21:07,60,5.54
2025-06-26 20:21:10,90,5.54
2025-06-26 20:21:13,120,6.84
2025-06-26 20:21:16,150,6.84
2025-06-26 20:21:20,180,6.84
2025-06-26 20:21:23,0,5.54
2025-06-26 20:21:26,30,5.54
2025-06-26 20:21:29,60,5.54
2025-06-26 20:21:32,90,5.54
2025-06-26 20:21:35,120,5.54
2025-06-26 20:21:39,150,5.54
2025-06-26 20:21:42,180,5.54
2025-06-26 20:21:45,0,6.84
2025-06-26 20:21:48,30,5.54
2025-06-26 20:21:51,60,5.54
2025-06-26 20:21:54,90,5.54
2025-06-26 20:21:58,120,5.54
2025-06-26 20:22:01,150,5.54
2025-06-26 20:22:04,180,5.54
2025-06-26 20:22:07,0,6.84
2025-06-26 20:22:10,30,5.54
2025-06-26 20:22:13,60,5.54
2025-06-26 20:22:17,90,5.54
2025-06-26 20:22:20,120,5.54
2025-06-26 20:22:26,150,5.54
2025-06-26 20:22:29,180,5.54
2025-06-26 20:22:32,0,5.54
2025-06-26 20:22:35,30,5.54
2025-06-26 20:22:38,60,5.54
2025-06-26 20:22:42,90,5.54
2025-06-26 20:22:45,120,5.54
2025-06-26 20:22:48,150,6.84
2025-06-26 20:22:51,180,5.54
2025-06-26 20:22:54,0,6.84
2025-06-26 20:22:57,30,6.84
2025-06-26 20:23:01,60,6.84
2025-06-26 20:23:04,90,6.84
2025-06-26 20:23:07,120,6.84
2025-06-26 20:23:10,150,6.84
2025-06-26 20:23:13,180,6.84
2025-06-26 20:23:16,0,6.84
2025-06-26 20:23:20,30,6.84
2025-06-26 20:23:23,60,6.84
2025-06-26 20:23:26,90,6.84
2025-06-26 20:23:30,120,5.54
2025-06-26 20:23:33,150,5.54
2025-06-26 20:23:36,180,5.54
2025-06-26 20:23:39,0,5.54
2025-06-26 20:23:42,30,6.84
2025-06-26 20:23:48,60,5.54
2025-06-26 20:23:51,90,5.54
2025-06-26 20:23:55,120,6.84
2025-06-26 20:23:58,150,5.54
2025-06-26 20:24:01,180,5.54
2025-06-26 20:24:05,0,6.84
2025-06-26 20:24:08,30,5.54
2025-06-26 20:24:12,60,6.84
2025-06-26 20:24:15,90,5.54
2025-06-26 20:24:18,120,6.84
2025-06-26 20:24:21,150,7.8
2025-06-26 20:24:24,180,5.54
2025-06-26 20:24:27,0,6.84
2025-06-26 20:24:31,30,5.87
2025-06-26 20:24:34,60,6.84
2025-06-26 20:24:37,90,6.84
2025-06-26 20:24:40,120,6.84
2025-06-26 20:24:43,150,6.84
2025-06-26 20:24:46,180,6.84
2025-06-26 20:24:50,0,5.87
2025-06-26 20:24:53,30,5.87
2025-06-26 20:24:56,60,5.87
2025-06-26 20:24:59,90,5.87
2025-06-26 20:25:02,120,5.87
2025-06-26 20:25:05,150,5.87
2025-06-26 20:25:09,180,5.87
2025-06-26 20:25:15,0,5.87
2025-06-26 20:25:18,30,5.87
2025-06-26 20:25:22,60,5.87
2025-06-26 20:25:25,90,5.87
2025-06-26 20:25:28,120,5.87
2025-06-26 20:25:31,150,5.87
2025-06-26 20:25:34,180,5.87
2025-06-26 20:25:38,0,5.87
2025-06-26 20:25:41,30,5.87
2025-06-26 20:25:44,60,5.87
2025-06-26 20:25:47,90,7.17
2025-06-26 20:25:50,120,5.87
2025-06-26 20:25:53,150,5.87
2025-06-26 20:25:57,180,5.87
2025-06-26 20:26:00,0,5.87
2025-06-26 20:26:03,30,4.89
2025-06-26 20:26:08,60,5.87
2025-06-26 20:26:12,90,5.87
2025-06-26 20:26:15,120,5.87
2025-06-26 20:26:19,150,802.86
2025-06-26 20:26:22,180,7.17
2025-06-26 20:26:25,0,6.84
2025-06-26 20:26:28,30,6.84
2025-06-26 20:26:31,60,6.84
2025-06-26 20:26:34,90,6.84
2025-06-26 20:26:38,120,7.17
2025-06-26 20:26:41,150,8.13
2025-06-26 20:26:44,180,8.15
2025-06-26 20:26:47,0,8.13
2025-06-26 20:26:51,30,8.15
2025-06-26 20:26:54,60,7.17
2025-06-26 20:26:57,90,7.17
2025-06-26 20:27:00,120,7.17
2025-06-26 20:27:03,150,7.17
2025-06-26 20:27:06,180,7.17
2025-06-26 20:27:10,0,7.17
2025-06-26 20:27:14,30,7.17
2025-06-26 20:27:17,60,7.17
2025-06-26 20:27:20,90,7.17
2025-06-26 20:27:24,120,7.17
2025-06-26 20:27:27,150,7.17
2025-06-26 20:27:30,180,8.13
2025-06-26 20:27:34,0,8.15
2025-06-26 20:27:38,30,8.15
2025-06-26 20:27:41,60,8.13
2025-06-26 20:27:44,90,8.13
2025-06-26 20:27:47,120,10.19
2025-06-26 20:27:50,150,6.84
2025-06-26 20:27:54,180,7.17
2025-06-26 20:27:57,0,7.17
2025-06-26 20:28:00,30,7.17
2025-06-26 20:28:03,60,7.17
2025-06-26 20:28:06,90,7.17
2025-06-26 20:28:09,120,8.13
2025-06-26 20:28:13,150,6.84
2025-06-26 20:28:17,180,8.13
2025-06-26 20:28:20,0,8.13
2025-06-26 20:28:23,30,8.13
2025-06-26 20:28:26,60,8.15
2025-06-26 20:28:30,90,8.15
2025-06-26 20:28:33,120,6.84
2025-06-26 20:28:36,150,8.13
2025-06-26 20:28:39,180,7.17
2025-06-26 20:28:42,0,7.17
2025-06-26 20:28:45,30,7.17
2025-06-26 20:28:49,60,8.13
2025-06-26 20:28:52,90,7.17
2025-06-26 20:28:55,120,8.13
2025-06-26 20:28:58,150,7.17
2025-06-26 20:29:01,180,7.17
2025-06-26 20:29:05,0,7.17
2025-06-26 20:29:08,30,7.17
2025-06-26 20:29:11,60,7.17
2025-06-26 20:29:14,90,7.17
2025-06-26 20:29:17,120,7.17
2025-06-26 20:29:20,150,7.17
2025-06-26 20:29:24,180,10.19
2025-06-26 20:29:31,30,7.17
2025-06-26 20:29:34,60,8.13
2025-06-26 20:29:37,90,7.17
2025-06-26 20:29:40,120,7.17
2025-06-26 20:29:46,150,7.17
2025-06-26 20:29:49,180,8.47
2025-06-26 20:29:52,0,7.48
2025-06-26 20:29:55,30,7.17
2025-06-26 20:30:01,60,7.17
2025-06-26 20:30:04,90,7.17
2025-06-26 20:30:08,120,49.6
2025-06-26 20:30:11,150,802.86
2025-06-26 20:30:14,180,16.28
2025-06-26 20:30:17,0,16.28
2025-06-26 20:30:20,30,802.88
2025-06-26 20:30:23,60,802.81
2025-06-26 20:30:27,90,15.97
2025-06-26 20:30:30,120,16.28
2025-06-26 20:30:33,150,16.28
2025-06-26 20:30:36,180,16.28
2025-06-26 20:30:39,0,15.97
2025-06-26 20:30:42,30,15.97
2025-06-26 20:30:45,60,15.97
2025-06-26 20:30:48,90,15.95
2025-06-26 20:30:51,120,15.95
2025-06-26 20:30:55,150,802.89
2025-06-26 20:30:58,180,802.95
2025-06-26 20:31:01,0,15.95
2025-06-26 20:31:04,30,802.84
2025-06-26 20:31:07,60,802.84
2025-06-26 20:31:10,90,802.86
2025-06-26 20:31:14,120,802.91
2025-06-26 20:31:17,150,802.86
2025-06-26 20:31:20,180,9.16
2025-06-26 20:31:23,0,16.93
2025-06-26 20:31:26,30,16.28
2025-06-26 20:31:29,60,16.91
2025-06-26 20:31:32,90,12.57
2025-06-26 20:31:36,120,802.89
2025-06-26 20:31:40,150,802.84
2025-06-26 20:31:43,180,16.91
2025-06-26 20:31:46,0,802.93
2025-06-26 20:31:49,30,802.83
2025-06-26 20:31:53,60,802.95
2025-06-26 20:31:56,90,802.91
